species_work,status,lower_limit,upper_limit,upper_limit_max,lower_limit_min,diff,n
Boronia anemonifolia,native,13.199999999999989,14.599999999999966,21.19999999999999,9.5,1.3999999999999773,17
Boronia lanuginosa,native,26.599999999999966,27.399999999999977,30.5,22.099999999999966,0.8000000000000114,8
Boronia parviflora,native,13.199999999999989,22.5,30.099999999999966,9.5,9.300000000000011,7
Boronia wilsonii,native,27.099999999999966,27.399999999999977,35.10000000000002,17.599999999999966,0.30000000000001137,12
Bossiaea bossiaeoides,native,26.599999999999966,27.30000000000001,30.599999999999966,21.80000000000001,0.7000000000000455,10
Bossiaea dentata,native,16.399999999999977,16.69999999999999,22.5,11.300000000000011,0.30000000000001137,11
Bossiaea prostrata,native,12.199999999999989,14.199999999999989,20,6.300000000000011,2,7
Bothriochloa bladhii,native,24.5,26.5,29.69999999999999,17.899999999999977,2,12
Bothriochloa pertusa,introduced,22.5,27.19999999999999,30.5,16.80000000000001,4.699999999999989,10
Brachychiton diversifolius,native,26.599999999999966,27.5,34.10000000000002,19.5,0.9000000000000341,20
Brachychiton paradoxus,native,26.5,26.599999999999966,30.5,22.099999999999966,0.0999999999999659,25
Brachychiton viridiflorus,native,27.19999999999999,27.399999999999977,34.10000000000002,19.5,0.19999999999998863,6
Brachypodium distachyon,introduced,15.800000000000011,18.599999999999966,27.5,11.5,2.7999999999999545,11
Brachyscome ciliaris,native,16.80000000000001,22.099999999999966,30.399999999999977,12.099999999999966,5.2999999999999545,26
Brachyscome diversifolia,native,13.699999999999989,14.5,20.80000000000001,9.699999999999989,0.8000000000000114,55
Brachyscome exilis,native,15.699999999999989,19.5,28.399999999999977,11.5,3.8000000000000114,7
Brachyscome iberidifolia,native,15.899999999999977,22,30.399999999999977,10.199999999999989,6.100000000000023,15
Brachyscome pusilla,native,16.399999999999977,16.69999999999999,22.5,11.300000000000011,0.30000000000001137,8
Brachyscome triloba,native,16.69999999999999,20.5,24.30000000000001,10.899999999999977,3.8000000000000114,8
Brassica rapa,introduced,11.599999999999966,20.399999999999977,27.5,8.099999999999966,8.800000000000011,8
Brassica tournefortii,introduced,15.800000000000011,22.69999999999999,30.399999999999977,10.199999999999989,6.899999999999977,24
Breynia cernua,native,16.5,27.399999999999977,32.39999999999998,10.5,10.899999999999977,46
Breynia oblongifolia,native,16.099999999999966,26.399999999999977,29.69999999999999,7.699999999999989,10.300000000000011,24
Bridelia tomentosa,native,23.69999999999999,28.30000000000001,35.19999999999999,18.399999999999977,4.600000000000023,41
Briza maxima,introduced,14.199999999999989,18,28.5,9.699999999999989,3.8000000000000114,35
Briza minor,introduced,13.599999999999966,18.599999999999966,28.5,8.800000000000011,5,48
Bromus arenarius,native,15.599999999999966,21.599999999999966,31.30000000000001,10.5,6,188
Bromus catharticus,introduced,12.300000000000011,22.80000000000001,27.399999999999977,9.099999999999966,10.5,33
Bromus diandrus,introduced,11.599999999999966,21.899999999999977,31.30000000000001,8.099999999999966,10.300000000000011,223
Bromus hordeaceus,introduced,13.599999999999966,20.399999999999977,28.5,8.800000000000011,6.800000000000011,90
Bromus madritensis,introduced,14.199999999999989,20.399999999999977,24.80000000000001,10.199999999999989,6.199999999999989,14
Bromus rubens,introduced,15.699999999999989,20.19999999999999,28.399999999999977,9.5,4.5,31
Bromus sterilis,introduced,14.300000000000011,14.5,20.19999999999999,9.899999999999977,0.19999999999998863,7
Brucea javanica,native,23.5,27.5,32.19999999999999,17.899999999999977,4,10
Bruguiera cylindrica,native,25.30000000000001,26.399999999999977,29.30000000000001,22.19999999999999,1.099999999999966,8
Bruguiera exaristata,native,23.399999999999977,26.69999999999999,29.899999999999977,17.899999999999977,3.3000000000000114,33
Bruguiera gymnorhiza,native,21,26.69999999999999,30.099999999999966,14.599999999999966,5.699999999999989,30
Bruguiera parviflora,native,26.19999999999999,27.399999999999977,34.10000000000002,19.5,1.1999999999999886,7
Bryophyllum delagoense,introduced,21.30000000000001,24.5,30.099999999999966,15.599999999999966,3.1999999999999886,6
Bryophyllum pinnatum,introduced,21.5,26.399999999999977,29.69999999999999,16.19999999999999,4.899999999999977,6
Buchanania arborescens,native,25.399999999999977,26.69999999999999,29.30000000000001,22.80000000000001,1.3000000000000114,26
Buchanania obovata,native,26.5,27.5,34.10000000000002,19.5,1,38
Buchnera asperata,native,27.099999999999966,28.30000000000001,35.19999999999999,19.5,1.2000000000000455,12
Buchnera linearis,native,25.399999999999977,27.399999999999977,35.10000000000002,17.599999999999966,2,7
