species_work,lower_limit_islands,upper_limit_islands,upper_limit_max_islands,lower_limit_min_islands,diff_islands,number_of_islands,number_of_mainland,lower_limit_mainland,upper_limit_mainland,upper_limit_max_mainland,lower_limit_min_mainland,diff_mainland,lower_limit_sd,upper_limit_sd,upper_limit_max_sd,lower_limit_min_sd,diff_sd,min,max,abs_max,abs_min,diff,lower_limit_std,upper_limit_std,upper_limit_max_std,lower_limit_min_std,diff_std
Acacia implexa,14,16.599999999999966,23.59999999999997,9,2.599999999999966,9,308,12.508699999999989,20.237699999999993,30.66099999999999,1.6030999999999906,7.729000000000005,1.096584154001328,1.310544251918358,1.2882074671723036,1.1599162882707512,1.6392089573956157,1.4913000000000114,-3.6377000000000272,-7.061000000000021,7.396900000000009,-5.1290000000000395,1.359950346317156,-2.7757170310542416,-5.4812599522492755,6.377098136131529,-3.1289482508374182
Acacia leiocalyx,21,24.5,30.09999999999997,14.399999999999975,3.5,6,437,17.71189999999999,21.94979999999999,32.63719999999999,5.489699999999986,4.2379000000000016,1.245873424787039,0.8100222812343478,0.877157662889387,1.2358686343140546,1.3764185839046632,3.2881000000000107,2.550200000000011,-2.5372000000000234,8.910299999999989,-0.7379000000000016,2.6391926616157297,3.148308459014119,-2.8925244654905033,7.209746855454004,-0.5361014509893538
Acacia leptocarpa,23.399999999999977,27.19999999999999,30.5,17.899999999999977,3.8000000000000114,24,522,20.96909999999999,27.35089999999999,36.6307,11.380899999999988,6.3818,1.1135956561002194,0.2825225814143164,0.8101999345432781,1.614946823658052,1.1552763407182784,2.430899999999987,-0.15090000000000003,-6.130699999999997,6.519099999999989,-2.5817999999999888,2.182928773728276,-0.5341165978471178,-7.566897673789575,4.036727342658522,-2.234789988337152
Acacia ligulata,15.800000000000011,22.09999999999997,30.399999999999977,9.5,6.2999999999999545,21,1564,15.69519999999999,25.43319999999999,39.0359,4.69439999999999,9.738,0.6420351775169083,1.2906213478257145,0.769449961494082,0.6810524740961377,1.3947118774934206,0.10480000000002221,-3.3332000000000193,-8.63590000000002,4.80560000000001,-3.438000000000045,0.163230931372545,-2.5826320055959084,-11.223471872337525,7.0561376439866645,-2.465025253946232
Acacia littorea,15.599999999999966,18.59999999999997,24.80000000000001,10.399999999999975,3,8,143,15.300299999999986,17.387699999999985,25.117799999999995,9.47769999999999,2.0873999999999997,0.20112274948488695,0.7034725180016549,1.6479316851249777,0.6929450792688343,0.7153131572345919,0.2996999999999801,1.2122999999999848,-0.3177999999999841,0.9222999999999857,0.9126000000000003,1.490134759829845,1.723308258642071,-0.1928477999838218,1.3309857124220534,1.2758048566142994
Acacia longifolia,12.199999999999989,22.5,30.09999999999997,7.699999999999989,10.300000000000011,83,781,9.82179999999999,20.824599999999982,30.923799999999993,0.5134999999999926,11.002799999999995,1.8321303068999928,0.6312157105722817,1.254219528881065,1.281596754147044,1.9091980508048916,2.378199999999998,1.6754000000000175,-0.8238000000000234,7.186499999999996,-0.7027999999999839,1.2980517766904733,2.654243188087069,-0.6568228137341837,5.607458021991411,-0.36811267416897536
Acacia melanoxylon,11.599999999999966,21.30000000000001,25.80000000000001,6.300000000000011,9.700000000000044,31,710,8.626699999999987,21.06929999999999,29.574899999999992,-1.360600000000013,12.442600000000004,1.4871613089233977,1.6385396920191866,1.6698827798676523,1.1968207969533389,2.1772702509669637,2.9732999999999787,0.2307000000000201,-3.774899999999981,7.6606000000000245,-2.7425999999999604,1.9993123692496029,0.14079610101829546,-2.2605778354688844,6.400791179014491,-1.2596507019658785
Acacia mucronata,13.199999999999989,14.599999999999966,21.19999999999999,9.5,1.3999999999999773,18,448,7.724599999999988,14.664899999999989,25.59359999999999,0.3688999999999896,6.940300000000001,1.3606271150267963,0.5398234891141733,0.9897467548007656,1.2264938145286632,1.4163869746866702,5.4754000000000005,-0.06490000000002283,-4.393600000000003,9.13110000000001,-5.540300000000023,4.024173808922048,-0.12022448320379849,-4.439115338028492,7.444880595267459,-3.911572260275576
Acacia multisiliqua,23.399999999999977,27.399999999999977,32.39999999999998,18.30000000000001,4,24,398,20.973299999999988,27.74629999999999,37.6329,9.6940999999999935,6.773000000000003,0.5383371777212818,0.6278220054047686,0.7886631597707474,0.585113277534825,0.8118313064116597,2.4266999999999896,-0.3463000000000136,-5.232900000000022,8.605900000000018,-2.7730000000000032,4.5077696663491205,-0.5515894585070293,-6.635152073695376,14.708092142871957,-3.4157342518075833
Acacia myrtifolia,12.199999999999989,16.5,23.899999999999977,6.300000000000011,4.300000000000011,15,969,11.76859999999999,18.222899999999992,28.711099999999988,3.245499999999988,6.454300000000002,1.2294818687828084,1.8517058093564436,1.7407978536197646,1.583820772132452,2.168622704491132,0.43139999999999823,-1.722899999999992,-4.81110000000001,3.0545000000000235,-2.1542999999999903,0.3508795135198584,-0.9304393771917702,-2.763732727493861,1.928564174523013,-0.9933954834736904
Acacia oncinocarpa,26.59999999999997,26.59999999999997,30.5,22.09999999999997,0,23,221,25.750099999999986,27.712799999999984,37.4311,14.370499999999987,1.962699999999998,0.4098145165046524,0.1532306746041411,0.3409384534326231,0.7452080817362904,0.43193202622088567,0.8498999999999839,-1.1128000000000142,-6.931100000000001,7.729499999999982,-1.962699999999998,2.0738650432611885,-7.2622534807396875,-20.329475687522404,10.372270764952935,-4.544002020809388
Acacia oswaldii,16.19999999999999,17.19999999999999,26.59999999999997,9.5,1,7,995,16.480799999999988,22.75839999999999,37.2508,5.040099999999992,6.277600000000001,1.0800453036136302,1.1119558830663605,1.14557920359603,0.8573313286046454,1.4783787890266304,-0.2807999999999993,-5.5584000000000024,-10.650800000000029,4.459900000000008,-5.277600000000001,-0.259989094031977,-4.998759469370317,-9.297305648153039,5.202072817353757,-3.569856412425121
Acacia platycarpa,26.30000000000001,28.30000000000001,35.19999999999999,19.80000000000001,2,6,431,23.858499999999992,27.851999999999983,38.4176,11.789999999999988,3.993499999999995,1.711284969327508,0.6968655692611179,1.2348664442502022,2.1675096535190095,1.7396707171773076,2.441500000000019,0.4480000000000288,-3.2176000000000116,8.010000000000023,-1.9934999999999952,1.4267056882755578,0.6428786551688016,-2.6056259079529074,3.6954852713092072,-1.1459065099598484
Acacia plectocarpa,26.59999999999997,28.30000000000001,35.19999999999999,17.599999999999966,1.7000000000000457,15,352,25.67079999999999,28.44469999999999,38.379,13.420399999999988,2.773900000000002,0.30741155128241937,0.5476420562939134,0.6235606047753703,0.49720322912371834,0.6323200286394735,0.9291999999999803,-0.14469999999997896,-3.179000000000009,4.1795999999999776,-1.0738999999999563,3.022658049522424,-0.26422368102847105,-5.0981411841198705,8.406220545603041,-1.6983488603241068
