species_work,lower_limit,upper_limit,upper_limit_max,lower_limit_min,n
Stypandra glauca,9.699999999999989,21.19999999999999,36.19999999999999,-0.8000000000000114,698
Suaeda australis,11.699999999999989,28.59999999999997,37.69999999999999,3.599999999999966,430
Suriana maritima,22.59999999999997,27.399999999999977,34.80000000000001,17.399999999999977,123
Surreya diandra,15.699999999999989,27.5,40.30000000000001,5,196
Swainsona lessertiifolia,11.800000000000011,16.80000000000001,28.5,5,204
Symphyotrichum subulatum,7.300000000000011,26.5,38.39999999999998,-2.900000000000034,416
Synaptantha scleranthoides,24,28.69999999999999,38.89999999999998,12.399999999999975,60
Synedrella nodiflora,19.19999999999999,28,37.5,9.599999999999966,162
Synostemon trachyspermus,17.099999999999966,28.5,38.69999999999999,4,103
Syringodium isoetifolium,18.399999999999977,27.09999999999997,32,10.899999999999975,48
Syzygium angophoroides,19.399999999999977,29.09999999999997,38.5,11.099999999999966,260
Syzygium aqueum,19.5,26.5,36.5,8.899999999999977,12
Syzygium branderhorstii,25.19999999999999,26.399999999999977,30,21,26
Syzygium bungadinnia,25.09999999999997,26.30000000000001,32,20.59999999999997,34
Syzygium hemilamprum,15,27.09999999999997,34.5,4.399999999999977,190
Syzygium oleosum,13.800000000000011,24.399999999999977,30.899999999999977,3.599999999999966,244
Syzygium smithii,11.899999999999975,22.5,30.5,1.3999999999999773,333
Syzygium suborbiculare,20.399999999999977,28,38.19999999999999,12.399999999999975,234
Tabernaemontana orientalis,19.899999999999977,28.30000000000001,39.10000000000002,12.099999999999966,360
Tacca leontopetaloides,20.399999999999977,28.69999999999999,39.19999999999999,11.699999999999989,256
Tacca maculata,25.30000000000001,28.399999999999977,38.69999999999999,13.599999999999966,33
Tamarindus indica,20.09999999999997,28.69999999999999,38.5,10.099999999999966,83
Tarenna pentamera,25.69999999999999,27.59999999999997,36.69999999999999,16.80000000000001,124
Tasmannia lanceolata,4.099999999999966,16,25.30000000000001,-5.100000000000023,336
Taxandria marginata,12.699999999999989,16.69999999999999,24.899999999999977,3.1999999999999886,60
Tecoma stans,15.800000000000011,26.69999999999999,35.39999999999998,5.199999999999989,121
Tecticornia arbuscula,12.300000000000011,18.399999999999977,32.099999999999966,4.5,163
Tecticornia australasica,20.30000000000001,28,37.39999999999998,10.699999999999989,125
Tecticornia halocnemoides,12.599999999999966,29.30000000000001,41.30000000000001,3.1999999999999886,666
Tecticornia indica,12.599999999999966,29.09999999999997,40.30000000000001,3.1999999999999886,1012
Tecticornia pergranulata,12.599999999999966,27.80000000000001,39.89999999999998,3.1999999999999886,760
Tecticornia syncarpa,14.300000000000011,20.399999999999977,35.60000000000002,5,93
Telmatoblechnum indicum,17.099999999999966,27.5,36.80000000000001,7.099999999999966,143
Templetonia hookeri,22.5,28.80000000000001,40.39999999999998,6.899999999999977,252
Templetonia retusa,13.699999999999989,21.59999999999997,34,3,338
Tephrosia brachyodon,12.099999999999966,28.80000000000001,39.80000000000001,1.3999999999999773,543
Tephrosia filipes,15.699999999999989,28.899999999999977,39.39999999999998,4.699999999999989,531
Tephrosia juncea,19.19999999999999,27.899999999999977,37.19999999999999,7.699999999999989,337
Tephrosia laxa,21.19999999999999,27.59999999999997,37.69999999999999,11.199999999999989,53
Tephrosia phaeosperma,25,29.30000000000001,40,10.899999999999975,322
Tephrosia rosea,23.19999999999999,29.09999999999997,41.60000000000002,7.899999999999977,479
Tephrosia virens,24,29.19999999999999,40.89999999999998,8.5,266
Terminalia arenicola,22.69999999999999,26.30000000000001,31.399999999999977,14.699999999999989,58
Terminalia canescens,15.800000000000011,29.30000000000001,41,11.099999999999966,310
Terminalia carpentariae,24.399999999999977,28.899999999999977,40.10000000000002,12.399999999999975,228
Terminalia catappa,20.5,27.09999999999997,34.5,11,63
Terminalia ferdinandiana,24.80000000000001,29,39.30000000000001,13.699999999999989,191
Terminalia latipes,21.5,29.09999999999997,39.30000000000001,13.300000000000011,141
Terminalia melanocarpa,21.09999999999997,24.5,31.399999999999977,10.399999999999975,30
Terminalia microcarpa,19.30000000000001,28.69999999999999,38.39999999999998,10.699999999999989,219
Terminalia muelleri,20.899999999999977,27.19999999999999,35.89999999999998,11.199999999999989,207
Terminalia petiolaris,26.09999999999997,28.59999999999997,38.5,15.099999999999966,54
Terminalia subacroptera,19.899999999999977,27.5,36.5,11.800000000000011,215
Tetragonia decumbens,14.699999999999989,20.30000000000001,32.30000000000001,8.699999999999989,92
Tetragonia diptera,20.09999999999997,23.5,39.60000000000002,6.599999999999966,31
Tetragonia implexicoma,11.5,21.899999999999977,31.30000000000001,4.899999999999977,482
Tetragonia tetragonoides,12.599999999999966,23.80000000000001,37.60000000000002,3.099999999999966,224
Tetraria capillaris,5.699999999999989,23.09999999999997,31.5,-0.9000000000000341,313
Tetrarrhena distichophylla,10.199999999999989,14.300000000000011,24.59999999999997,1.6999999999999886,55
Thalassia hemprichii,24.19999999999999,27.59999999999997,32.69999999999999,16,77
Thelymitra aristata,9.199999999999989,17.099999999999966,28.19999999999999,1.3999999999999773,129
Thelymitra flexuosa,11.599999999999966,19.19999999999999,33.80000000000001,4.399999999999977,188
Thelymitra ixioides,6.199999999999989,18.30000000000001,30.80000000000001,-3.5,236
Thelymitra pauciflora,7.899999999999977,22,32.80000000000001,-1,382
Themeda arguens,22.19999999999999,28.69999999999999,38.69999999999999,12.899999999999975,213
Themeda triandra,6.5,29.399999999999977,41.30000000000001,-3.6000000000000227,2038
Thespesia populnea,20.80000000000001,26.69999999999999,32.69999999999999,14,103
Thespesia populneoides,23,28.5,38,14.599999999999966,175
Thomasia cognata,15.800000000000011,19.399999999999977,30.30000000000001,7.599999999999966,31
Threlkeldia diffusa,13,27.399999999999977,39.19999999999999,5.5,426
Thryptomene saxicola,12.800000000000011,18.59999999999997,29.69999999999999,4.300000000000011,63
Thuarea involuta,21.69999999999999,26.69999999999999,32,14.099999999999966,115
Thyridia repens,5.5,23.30000000000001,39.19999999999999,-2.3000000000000114,219
Thysanotus manglesianus,14.599999999999966,24.399999999999977,39.39999999999998,4.699999999999989,341
Thysanotus patersonii,6,24.5,39.39999999999998,-4.5,659
Thysanotus tuberosus,8.899999999999977,27.69999999999999,38.60000000000002,-1.6000000000000227,317
Timonius timon,19.5,28.69999999999999,39.60000000000002,9.300000000000011,383
Tinospora smilacina,15.199999999999989,29.09999999999997,40.89999999999998,4.099999999999966,494
Tithonia diversifolia,17.69999999999999,26.5,31.399999999999977,8.199999999999989,87
Torenia crustacea,18.899999999999977,29,38.5,7.800000000000011,183
Trachyandra divaricata,15.099999999999966,20,32.69999999999999,9.399999999999975,61
Trachymene coerulea,16.80000000000001,21,36.19999999999999,6.699999999999989,44
Trachymene cussonii,22.59999999999997,22.899999999999977,26.5,17.399999999999977,13
Trachymene didiscoides,25,28.5,38.60000000000002,12.899999999999975,148
Trachymene longipedunculata,26.59999999999997,26.69999999999999,29,23.09999999999997,14
Trachymene pilosa,9.800000000000011,21.899999999999977,37,-0.9000000000000341,611
Trema tomentosa,10.5,28.899999999999977,39.89999999999998,0.0999999999999659,689
Trianthema portulacastrum,18.5,29.09999999999997,40.60000000000002,5.699999999999989,167
Tribulus cistoides,22.399999999999977,28.69999999999999,41.60000000000002,9.5,329
Trichodesma zeylanicum,15.899999999999975,29.09999999999997,41.19999999999999,2.6999999999999886,1058
Trichosanthes cucumerina,20.399999999999977,29,40.39999999999998,11.399999999999975,196
Tricoryne elatior,9.800000000000011,27.5,39,-1.6999999999999886,866
Tridax procumbens,18.5,29.399999999999977,39.30000000000001,5.899999999999977,342
Triflorensia australis,23.19999999999999,27.69999999999999,37.19999999999999,16,68
Trifolium arvense,4.800000000000011,20.399999999999977,34.89999999999998,-5.699999999999989,533
Trifolium campestre,9.300000000000011,21.19999999999999,35.69999999999999,-1.3000000000000114,528
Trifolium cernuum,8.099999999999966,18.399999999999977,33.5,-1.3000000000000114,114
Trifolium dubium,5.800000000000011,20.80000000000001,33.39999999999998,-3.6999999999999886,301
Trifolium glomeratum,10.399999999999975,21.80000000000001,36.5,0.5999999999999659,272
Trifolium ornithopodioides,10.699999999999989,16,30.30000000000001,2,35
Trifolium repens,3.599999999999966,22,33.80000000000001,-6.900000000000034,253
Trifolium subterraneum,9.800000000000011,19.899999999999977,34.19999999999999,-1.6999999999999886,260
Trifolium tomentosum,9.5,20.69999999999999,35.80000000000001,1.5,194
Triglochin calcitrapa,13.899999999999975,23,38.60000000000002,4.099999999999966,62
Triglochin centrocarpa,14.800000000000011,25.59999999999997,38.69999999999999,5.099999999999966,58
Triglochin minutissima,11.399999999999975,20.5,36.5,3.1999999999999886,110
Triglochin mucronata,12.599999999999966,23.5,38.80000000000001,3.1999999999999886,184
Triglochin muelleri,16.69999999999999,18.80000000000001,33.099999999999966,7.399999999999977,27
Triglochin striata,9.599999999999966,22.80000000000001,32.89999999999998,2.3000000000000114,465
Triglochin trichophora,14.899999999999975,20.399999999999977,34.69999999999999,6,74
Triodia bitextura,20.899999999999977,28.899999999999977,40.30000000000001,5.699999999999989,329
Triodia bynoei,25.399999999999977,29,39.5,13.300000000000011,115
Triodia microstachya,22.5,28.19999999999999,38.60000000000002,11.099999999999966,251
Triodia pungens,19.30000000000001,28.899999999999977,41.10000000000002,4.199999999999989,547
Triraphis mollis,15.899999999999975,28,41.10000000000002,3.8999999999999777,526
Triumfetta aquila,25.19999999999999,27.69999999999999,37.60000000000002,14,45
Triumfetta plumigera,24.19999999999999,29.399999999999977,40.19999999999999,9,252
Triumfetta procumbens,22.69999999999999,26.30000000000001,28.899999999999977,17.69999999999999,24
Triumfetta repens,22.09999999999997,26.30000000000001,32.69999999999999,12.599999999999966,68
Triumfetta rhomboidea,17.899999999999977,28,37.39999999999998,7.699999999999989,268
Triumfetta triandra,24.59999999999997,28.399999999999977,39.10000000000002,13,75
Turraea pubescens,17.099999999999966,28.59999999999997,39.69999999999999,5.699999999999989,359
Typha domingensis,11,29,40.60000000000002,1,436
Ulex europaeus,4.699999999999989,17.80000000000001,31.30000000000001,-3.1000000000000227,198
Uraria lagopodioides,18.30000000000001,28.69999999999999,40.30000000000001,7.199999999999989,336
Urochloa mutica,18.399999999999977,28.80000000000001,39.39999999999998,6.399999999999977,146
Urochloa piligera,12.800000000000011,29,40.30000000000001,1.3999999999999773,338
Urochloa subquadripara,17.099999999999966,28.69999999999999,40.30000000000001,3,325
Urospermum picroides,13.5,26.69999999999999,41.10000000000002,2.1999999999999886,224
Ursinia anthemoides,13.699999999999989,21,37,4.699999999999989,279
Urtica incisa,5.699999999999989,21.5,32.89999999999998,-2.6000000000000227,370
Urtica urens,9.899999999999975,24.5,37.30000000000001,-0.30000000000001137,247
Utricularia chrysantha,18.30000000000001,28.899999999999977,39.19999999999999,10.399999999999975,439
Utricularia dichotoma,4.300000000000011,21.30000000000001,35.19999999999999,-6,427
Utricularia lateriflora,9.099999999999966,22.899999999999977,29.80000000000001,0.8999999999999773,154
Uvaria glabra,25.899999999999977,27.5,37.19999999999999,15.099999999999966,51
Uvaria rufa,22.5,26.899999999999977,35.39999999999998,13.699999999999989,39
Vavaea amicorum,19.19999999999999,27.69999999999999,37.30000000000001,10.699999999999989,169
Vellereophyton dealbatum,10.099999999999966,21,34.80000000000001,1.599999999999966,440
Veronica calycina,4.300000000000011,19.30000000000001,30.69999999999999,-3.900000000000034,216
